applicant_id,gender,age,income,business_or_commercial,occupancy_type,construction_type,total_units,region
24890,Sex Not Available,25-34,1740.0,nob/c,pr,sb,1U,south
24891,Male,55-64,4980.0,b/c,pr,sb,1U,North
24892,Male,35-44,9480.0,nob/c,pr,sb,1U,south
24893,Male,45-54,11880.0,nob/c,pr,sb,1U,North
24894,Joint,25-34,10440.0,nob/c,pr,sb,1U,North
24895,Joint,35-44,10080.0,nob/c,pr,sb,1U,North
24896,Joint,55-64,5040.0,nob/c,pr,sb,1U,North
24897,Female,55-64,3780.0,nob/c,pr,sb,1U,North
24898,Joint,55-64,5580.0,nob/c,pr,sb,1U,central
24899,Sex Not Available,55-64,6720.0,nob/c,pr,sb,1U,south
24900,Male,55-64,4020.0,b/c,pr,sb,1U,North
24901,Sex Not Available,35-44,9540.0,nob/c,pr,sb,1U,south
24902,Joint,65-74,3780.0,b/c,pr,sb,1U,North
24903,Joint,55-64,,b/c,pr,sb,1U,North
24904,Female,35-44,7860.0,nob/c,pr,sb,1U,North
24905,Male,45-54,2220.0,nob/c,pr,sb,1U,North
24906,Joint,25-34,5340.0,b/c,pr,sb,1U,North
24907,Male,65-74,3120.0,nob/c,pr,sb,1U,North
24908,Female,45-54,5340.0,nob/c,pr,sb,1U,North
24909,Sex Not Available,55-64,12540.0,nob/c,sr,sb,1U,south
24910,Joint,65-74,16860.0,nob/c,pr,sb,1U,North
24911,Female,>74,2100.0,nob/c,pr,sb,1U,North
24912,Male,55-64,2880.0,nob/c,pr,sb,1U,south
24913,Female,65-74,2760.0,nob/c,pr,sb,1U,south
24914,Male,35-44,4980.0,nob/c,pr,sb,1U,south
24915,Joint,45-54,8940.0,nob/c,pr,sb,1U,North
24916,Joint,45-54,6780.0,nob/c,pr,sb,1U,south
24917,Sex Not Available,25-34,3840.0,nob/c,pr,sb,1U,south
24918,Female,55-64,3840.0,nob/c,pr,sb,1U,central
24919,Female,35-44,4920.0,nob/c,pr,sb,1U,south
24920,Male,25-34,5400.0,b/c,pr,sb,1U,North
24921,Male,55-64,,nob/c,pr,sb,1U,North
24922,Male,35-44,5580.0,nob/c,pr,sb,1U,North
24923,Male,45-54,3720.0,nob/c,pr,sb,1U,North
24924,Male,25-34,7500.0,nob/c,pr,sb,1U,North
24925,Female,45-54,3540.0,nob/c,pr,sb,1U,south
24926,Male,55-64,9180.0,nob/c,ir,sb,1U,south
24927,Joint,45-54,9660.0,nob/c,pr,sb,1U,North
24928,Male,65-74,3780.0,nob/c,pr,sb,1U,central
24929,Male,35-44,7560.0,nob/c,pr,sb,1U,North
24930,Male,35-44,9060.0,nob/c,pr,sb,1U,south
24931,Female,35-44,3480.0,b/c,pr,sb,1U,central
24932,Male,45-54,0.0,nob/c,pr,sb,1U,North
24933,Male,35-44,3120.0,b/c,pr,sb,1U,central
24934,Sex Not Available,35-44,13620.0,nob/c,pr,sb,1U,south
24935,Joint,45-54,7380.0,nob/c,pr,sb,1U,North
24936,Sex Not Available,55-64,4920.0,b/c,pr,sb,1U,south
24937,Joint,55-64,3720.0,nob/c,pr,sb,1U,North
24938,Male,45-54,,nob/c,pr,sb,1U,south
24939,Female,25-34,6780.0,nob/c,pr,sb,1U,North
24940,Sex Not Available,25-34,9060.0,nob/c,pr,sb,1U,south
24941,Male,65-74,9600.0,nob/c,pr,sb,1U,North
24942,Joint,65-74,3360.0,nob/c,pr,sb,1U,North
24943,Female,65-74,4560.0,nob/c,pr,sb,1U,North
24944,Joint,35-44,22500.0,nob/c,ir,sb,1U,central
24945,Sex Not Available,55-64,3300.0,b/c,pr,sb,1U,south
24946,Female,45-54,4140.0,nob/c,ir,sb,1U,south
24947,Male,45-54,6000.0,nob/c,pr,sb,1U,south
24948,Male,35-44,6600.0,nob/c,pr,sb,1U,North
24949,Sex Not Available,35-44,11340.0,nob/c,pr,sb,1U,south
24950,Male,65-74,7080.0,nob/c,pr,sb,1U,North
24951,Male,35-44,4800.0,b/c,pr,sb,1U,North
24952,Joint,35-44,8520.0,nob/c,pr,sb,1U,south
24953,Sex Not Available,<25,2760.0,b/c,pr,sb,1U,south
24954,Joint,55-64,7140.0,nob/c,pr,sb,1U,North
24955,Male,55-64,5820.0,nob/c,pr,sb,1U,south
24956,Joint,65-74,2100.0,nob/c,pr,sb,1U,North
24957,Female,65-74,12000.0,b/c,pr,sb,1U,south
24958,Female,25-34,3720.0,b/c,pr,sb,1U,North
24959,Sex Not Available,65-74,5880.0,nob/c,pr,sb,1U,south
24960,Sex Not Available,>74,3300.0,nob/c,pr,sb,1U,south
24961,Male,35-44,8400.0,nob/c,pr,sb,1U,south
24962,Female,65-74,5520.0,nob/c,pr,sb,1U,North
24963,Male,65-74,2040.0,nob/c,pr,sb,1U,North
24964,Male,45-54,8580.0,nob/c,pr,sb,1U,North
24965,Joint,45-54,10740.0,nob/c,pr,sb,1U,central
24966,Sex Not Available,35-44,2400.0,nob/c,pr,sb,1U,south
