applicant_id,year,loan_limit,approv_in_adv,loan_type,loan_purpose,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,submission_of_application,region,application_status
24890,2019,,,type1,,116500,3.4,,,,to_inst,south,1
24891,2019,,pre,type2,,206500,,,,,to_inst,North,1
24892,2019,cf,,type1,,406500,5.6,0.34,6534,,to_inst,south,0
24893,2019,,,type1,,456500,2.3,1.3,,300,not_inst,North,0
24894,2019,cf,nopre,type1,,696500,,,,360,not_inst,North,0
24895,2019,cf,,type1,,706500,,0.45,1234,,not_inst,North,0
24896,2019,,pre,type1,,346500,4.5,,,,to_inst,North,0
24897,2019,,pre,type1,,266500,3.3,,,,to_inst,North,0
24898,2019,cf,,type1,,376500,,,320,,to_inst,central,0
24899,2019,,,type3,,436500,4.2,,,,to_inst,south,0
24900,2019,cf,nopre,type2,p3,136500,,,,300,to_inst,North,1
24901,2019,cf,nopre,type1,p3,466500,4.375,0.1871,1150,360,to_inst,south,0
24902,2019,cf,nopre,type2,p3,206500,,,,360,to_inst,North,1
24903,2019,cf,nopre,type2,p4,436500,3.625,0.6146,0,360,to_inst,North,0
24904,2019,cf,nopre,type1,p4,226500,4.5,0.4657,3953.13,360,to_inst,North,0
24905,2019,cf,nopre,type1,p4,76500,,,,360,not_inst,North,1
24906,2019,cf,nopre,type2,p1,356500,,,,360,not_inst,North,1
24907,2019,cf,pre,type1,p3,156500,,,,360,to_inst,North,1
24908,2019,cf,nopre,type1,p1,406500,4.56,0.458,895,360,not_inst,North,0
24909,2019,cf,nopre,type1,p4,586500,3.175,-0.3446,650,360,to_inst,south,0
24910,2019,cf,nopre,type1,p3,306500,2.99,0.2837,10470,180,to_inst,North,0
24911,2019,cf,nopre,type1,p3,136500,3.99,0.4819,4156.25,360,to_inst,North,0
24912,2019,cf,pre,type1,p3,306500,,,,360,to_inst,south,1
24913,2019,cf,nopre,type1,p3,316500,3.625,0.0454,6661.88,360,not_inst,south,0
24914,2019,cf,nopre,type1,p3,336500,4.5,0.0759,0,360,not_inst,south,0
24915,2019,,nopre,type1,p3,426500,4.99,1.2706,169.5,360,not_inst,North,0
24916,2019,cf,nopre,type3,p1,476500,,,,360,to_inst,south,1
24917,2019,cf,nopre,type1,p4,196500,5.25,1.2158,5245.09,360,to_inst,south,0
