applicant_id,credit_worthiness,open_credit,credit_type,credit_score,co_applicant_credit_type,negative_amortization,interest_only,lump_sum_payment,debt_to_income_ratio
24890,l1,nopc,EXP,758,CIB,not_neg,not_int,not_lpsm,45.0
24891,l1,nopc,EQUI,552,EXP,not_neg,not_int,lpsm,
24892,l1,nopc,EXP,834,CIB,neg_amm,not_int,not_lpsm,46.0
24893,l1,nopc,EXP,587,CIB,not_neg,not_int,not_lpsm,42.0
24894,l1,nopc,CRIF,602,EXP,not_neg,not_int,not_lpsm,39.0
24895,l1,nopc,EXP,864,EXP,not_neg,not_int,not_lpsm,40.0
24896,l1,nopc,EXP,860,EXP,not_neg,not_int,not_lpsm,44.0
24897,l1,nopc,CIB,863,CIB,not_neg,not_int,not_lpsm,42.0
24898,l1,nopc,CIB,580,EXP,not_neg,not_int,not_lpsm,44.0
24899,l1,nopc,CIB,788,EXP,not_neg,not_int,not_lpsm,30.0
24900,l2,nopc,EXP,723,CIB,neg_amm,not_int,not_lpsm,44.0
24901,l1,nopc,EXP,501,EXP,not_neg,not_int,not_lpsm,36.0
24902,l1,nopc,CRIF,884,EXP,not_neg,not_int,not_lpsm,51.0
24903,l1,nopc,CRIF,520,EXP,not_neg,not_int,not_lpsm,
24904,l1,nopc,CIB,773,CIB,not_neg,not_int,not_lpsm,39.0
24905,l1,nopc,EXP,685,CIB,not_neg,not_int,not_lpsm,20.0
24906,l1,nopc,CRIF,846,EXP,neg_amm,not_int,not_lpsm,44.0
24907,l1,nopc,CRIF,534,CIB,neg_amm,not_int,not_lpsm,44.0
24908,l1,nopc,CIB,629,CIB,not_neg,not_int,not_lpsm,44.0
24909,l1,nopc,CIB,688,EXP,not_neg,not_int,not_lpsm,31.0
24910,l1,nopc,EXP,668,EXP,not_neg,not_int,not_lpsm,6.0
24911,l1,nopc,EXP,758,CIB,not_neg,not_int,not_lpsm,36.0
24912,l1,nopc,EXP,692,CIB,not_neg,not_int,not_lpsm,44.0
24913,l1,nopc,CIB,620,CIB,not_neg,not_int,not_lpsm,44.0
24914,l2,nopc,CIB,846,CIB,not_neg,not_int,not_lpsm,35.0
24915,l1,nopc,EXP,533,EXP,not_neg,not_int,not_lpsm,34.0
24916,l1,nopc,EQUI,518,EXP,not_neg,not_int,not_lpsm,
24917,l1,nopc,EXP,812,EXP,not_neg,not_int,not_lpsm,49.0
24918,l1,nopc,CRIF,534,CIB,not_neg,not_int,not_lpsm,46.0
24919,l1,nopc,CIB,647,EXP,not_neg,not_int,not_lpsm,42.0
24920,l1,nopc,EXP,683,CIB,not_neg,not_int,not_lpsm,39.0
24921,l1,nopc,CIB,705,CIB,not_neg,not_int,not_lpsm,
24922,l1,nopc,EXP,701,CIB,not_neg,not_int,not_lpsm,37.0
24923,l1,nopc,EXP,591,CIB,not_neg,int_only,not_lpsm,41.0
24924,l1,nopc,CIB,647,CIB,not_neg,not_int,not_lpsm,36.0
