applicant_id,loan_id,loan_type,loan_purpose,loan_amount,loan_term,property_value,loan_to_value,secured_by,security_type
24890,24890,type1,p1,116500,360.0,118000.0,98.72881356,home,direct
24891,24891,type2,p1,206500,360.0,,,home,direct
24892,24892,type1,p1,406500,360.0,508000.0,80.01968504,home,direct
24893,24893,type1,p4,456500,360.0,658000.0,69.3768997,home,direct
24894,24894,type1,p1,696500,360.0,758000.0,91.88654354,home,direct
24895,24895,type1,p1,706500,360.0,1008000.0,70.08928571,home,direct
24896,24896,type1,p3,346500,360.0,438000.0,79.10958904,home,direct
24897,24897,type1,p4,266500,360.0,308000.0,86.52597403,home,direct
24898,24898,type1,p3,376500,360.0,478000.0,78.76569038,home,direct
24899,24899,type3,p3,436500,360.0,688000.0,63.44476744,home,direct
24900,24900,type2,p3,136500,300.0,168000.0,81.25,home,direct
24901,24901,type1,p3,466500,360.0,708000.0,65.88983051,home,direct
24902,24902,type2,p3,206500,360.0,258000.0,80.03875969,home,direct
24903,24903,type2,p4,436500,360.0,508000.0,85.92519685,home,direct
24904,24904,type1,p4,226500,360.0,298000.0,76.00671141,home,direct
24905,24905,type1,p4,76500,360.0,138000.0,55.43478261,home,direct
24906,24906,type2,p1,356500,360.0,368000.0,96.875,home,direct
24907,24907,type1,p3,156500,360.0,168000.0,93.1547619,home,direct
24908,24908,type1,p1,406500,360.0,598000.0,67.97658863,home,direct
24909,24909,type1,p4,586500,360.0,748000.0,78.40909091,home,direct
24910,24910,type1,p3,306500,180.0,558000.0,54.92831541,home,direct
24911,24911,type1,p3,136500,360.0,198000.0,68.93939394,home,direct
24912,24912,type1,p3,306500,360.0,448000.0,68.41517857,home,direct
24913,24913,type1,p3,316500,360.0,508000.0,62.30314961,home,direct
24914,24914,type1,p3,336500,360.0,428000.0,78.62149533,home,direct
24915,24915,type1,p3,426500,360.0,568000.0,75.08802817,home,direct
24916,24916,type3,p1,476500,360.0,,,home,direct
24917,24917,type1,p4,196500,360.0,258000.0,76.1627907,home,direct
24918,24918,type1,p1,186500,360.0,218000.0,85.55045872,home,direct
24919,24919,type1,p1,436500,360.0,468000.0,93.26923077,home,direct
24920,24920,type2,p1,246500,360.0,258000.0,95.54263566,home,direct
24921,24921,type3,p4,216500,360.0,228000.0,94.95614035,home,direct
24922,24922,type1,p1,306500,360.0,318000.0,96.3836478,home,direct
24923,24923,type1,p1,316500,360.0,338000.0,93.63905325,home,direct
24924,24924,type1,p1,506500,360.0,538000.0,94.14498141,home,direct
24925,24925,type1,p3,266500,360.0,408000.0,65.31862745,home,direct
24926,24926,type1,p1,406500,360.0,1018000.0,39.93123772,home,direct
24927,24927,type1,p4,656500,360.0,1108000.0,59.25090253,home,direct
24928,24928,type1,p4,256500,180.0,418000.0,61.36363636,home,direct
24929,24929,type1,p4,396500,360.0,418000.0,94.85645933,home,direct
24930,24930,type1,p3,396500,360.0,528000.0,75.09469697,home,direct
24931,24931,type2,p3,166500,360.0,198000.0,84.09090909,home,direct
24932,24932,type3,p4,466500,360.0,,,home,direct
24933,24933,type2,p4,236500,360.0,248000.0,95.36290323,home,direct
24934,24934,type1,p4,866500,360.0,1508000.0,57.4602122,home,direct
24935,24935,type1,p4,416500,360.0,528000.0,78.88257576,home,direct
24936,24936,type2,p3,436500,360.0,508000.0,85.92519685,home,direct
24937,24937,type1,p3,356500,360.0,608000.0,58.63486842,home,direct
24938,24938,type3,p4,386500,360.0,428000.0,90.30373832,home,direct
24939,24939,type1,p1,596500,360.0,668000.0,89.29640719,home,direct
24940,24940,type1,p3,196500,312.0,338000.0,58.13609467,home,direct
24941,24941,type1,p4,206500,180.0,708000.0,29.16666667,home,direct
24942,24942,type3,p3,136500,360.0,,,home,direct
24943,24943,type1,p3,166500,360.0,,,home,direct
24944,24944,type1,p1,606500,360.0,808000.0,75.06188119,home,direct
24945,24945,type2,p4,86500,360.0,948000.0,9.124472574,home,direct
24946,24946,type1,p2,116500,180.0,128000.0,91.015625,home,direct
24947,24947,type1,p3,426500,180.0,598000.0,71.32107023,home,direct
24948,24948,type1,p3,166500,144.0,238000.0,69.95798319,home,direct
24949,24949,type1,p3,426500,180.0,608000.0,70.14802632,home,direct
24950,24950,type1,p4,376500,360.0,718000.0,52.43732591,home,direct
24951,24951,type2,p1,286500,360.0,298000.0,96.1409396,home,direct
24952,24952,type1,p4,706500,360.0,888000.0,79.56081081,home,direct
24953,24953,type2,p4,146500,360.0,148000.0,98.98648649,home,direct
24954,24954,type1,p3,446500,240.0,628000.0,71.09872611,home,direct
24955,24955,type1,p4,286500,360.0,608000.0,47.12171053,home,direct
24956,24956,type3,p3,166500,360.0,,,home,direct
24957,24957,type2,p4,636500,360.0,658000.0,96.7325228,home,direct
24958,24958,type2,p3,226500,360.0,258000.0,87.79069767,home,direct
24959,24959,type1,p3,316500,360.0,928000.0,34.10560345,home,direct
24960,24960,type1,p3,156500,360.0,208000.0,75.24038462,home,direct
24961,24961,type1,p1,706500,360.0,748000.0,94.45187166,home,direct
24962,24962,type1,p3,196500,240.0,318000.0,61.79245283,home,direct
24963,24963,type3,p1,166500,360.0,168000.0,99.10714286,home,direct
24964,24964,type1,p4,486500,360.0,1198000.0,40.60934891,home,direct
24965,24965,type1,p1,406500,360.0,428000.0,94.97663551,home,direct
24966,24966,type1,p4,146500,360.0,188000.0,77.92553191,home,direct
24967,24967,type1,p1,306500,360.0,408000.0,75.12254902,home,direct
24968,24968,type1,p4,266500,300.0,298000.0,89.4295302,home,direct
24969,24969,type1,p4,436500,240.0,588000.0,74.23469388,home,direct
24970,24970,type1,p4,446500,360.0,1308000.0,34.13608563,home,direct
24971,24971,type2,p1,216500,360.0,218000.0,99.31192661,home,direct
24972,24972,type1,p1,476500,360.0,688000.0,69.25872093,home,direct
24973,24973,type1,p4,466500,360.0,658000.0,70.89665653,home,direct
24974,24974,type1,p4,326500,240.0,,,home,direct
24975,24975,type2,p1,656500,360.0,678000.0,96.82890855,home,direct
24976,24976,type1,p1,506500,360.0,808000.0,62.68564356,home,direct
24977,24977,type3,p4,246500,360.0,358000.0,68.8547486,home,direct
24978,24978,type1,p3,186500,360.0,288000.0,64.75694444,home,direct
24979,24979,type1,p3,56500,360.0,2008000.0,2.81374502,home,direct
24980,24980,type1,p4,486500,360.0,578000.0,84.16955017,home,direct
24981,24981,type1,p3,346500,360.0,3408000.0,10.16725352,home,direct
24982,24982,type1,p3,136500,180.0,348000.0,39.22413793,home,direct
